"","geneid","Mlowhi.logFC","Mlowhi.AveExpr","Mlowhi.t","Mlowhi.P.Value","Mlowhi.adj.P.Val","Mlowhi.B","Plowhi.logFC","Plowhi.AveExpr","Plowhi.t","Plowhi.P.Value","Plowhi.adj.P.Val","Plowhi.B","Diff.logFC","Diff.AveExpr","Diff.t","Diff.P.Value","Diff.adj.P.Val","Diff.B"
"1","128up",0.115843866015905,4.60840105494215,1.33835207969281,0.201792209912896,0.404292595396597,-6.44385343879231,-0.0604380853706497,4.60840105494215,-0.772083771597019,0.452708137929846,0.596196023934197,-6.90586731858386,0.176281951386555,4.60840105494215,1.51050828671769,0.152816153322191,0.461217049792772,-5.69367102286282
"2","1360{}1180",-0.0256978738699569,-1.68237398726261,-0.0524064876860148,0.958934019205131,0.981169753879084,-5.89787515069348,0.546005574990788,-1.68237398726261,1.189514987741,0.253723112263078,0.392881551604278,-5.1045706799986,-0.571703448860744,-1.68237398726261,-0.851163225114129,0.408785934471901,0.714929727031418,-5.1137382646531
"3","1360{}1270",-1.35356713738096,-0.931082750946032,-3.38589434522172,0.00435111636600944,0.0357664581542523,-1.87935865523052,0.593917659017715,-0.931082750946032,1.47284689651249,0.162583254378835,0.285358608399568,-4.8502535197168,-1.94748479639868,-0.931082750946032,-3.42975748989467,0.00398511482813873,0.0727343113542925,-1.8608864433668
"4","1360{}1504",-0.160934434052498,-1.01246921217058,-0.463234222187919,0.650207883719267,0.802166934985966,-5.87934991613738,0.422537347037441,-1.01246921217058,1.36882936971941,0.192291688652536,0.323065299863813,-5.01844123265817,-0.583471781089939,-1.01246921217058,-1.25547904451637,0.229547149360601,0.556195379242791,-4.84698829044874
"5","1360{}1514",0.702175194879705,-1.65872148136831,1.06316732751532,0.305430925787406,0.521594090433039,-5.22386098551408,1.47164718117175,-1.65872148136831,3.02002703687748,0.00904830991102222,0.0345777941434249,-2.45811593076883,-0.769471986292043,-1.65872148136831,-0.93750285081642,0.364153315361789,0.681774829750593,-5.0056323989977
"6","1360{}1533",0.0701743040640428,1.47491564584317,0.350923071706802,0.730791521327978,0.857042153523539,-6.73835991717709,0.285005566535556,1.47491564584317,1.30415008449391,0.212901418916256,0.347599081458935,-5.65319866354534,-0.214831262471513,1.47491564584317,-0.725239968105552,0.480072151713935,0.764239703928649,-5.92422887437604
"7","1360{}1539",-0.933743433529394,0.133118096564829,-2.92179104266295,0.0110045888686074,0.0650795243917643,-2.80938334446302,0.352862548581634,0.133118096564829,1.39557789815058,0.18425659844199,0.312876942646899,-5.27911238467639,-1.28660598211103,0.133118096564829,-3.15727428860034,0.00687785397542922,0.0990723011205494,-2.21972306305286
"8","1360{}154",3.82961424319837,-2.79569603223782,1.49886656989467,0.170026964113572,0.364087527482203,-4.59131462017696,6.93142319824835,-2.79569603223782,3.16935240169341,0.0121939904293489,0.0428589516013092,-2.66493381142354,-3.10180895504998,-2.79569603223782,-0.922279771501284,0.381766604874689,0.694370208372161,-4.8319071725524
"9","1360{}1589",-1.21012570654657,-3.64046918609113,-1.25443424130733,0.236066163305927,0.44472456115163,-5.09669373339861,-0.0204547137978439,-3.64046918609113,-0.0127029983432532,0.990095591057337,0.994926599480009,-5.2136421869718,-1.18967099274873,-3.64046918609113,-0.6337874887875,0.539366393861743,0.794478346433995,-4.96744146674378
"10","1360{}1617",-1.44817011824756,-1.67454814660567,-2.54216355043102,0.0232575163162061,0.103156155022986,-3.24745229652671,0.0226377508909208,-1.67454814660567,0.0433946792194546,0.965990481334524,0.981031581115209,-5.6591407218699,-1.47080786913848,-1.67454814660567,-1.90412182362395,0.0773313515549514,0.336259118739862,-4.03484489306451
"11","1360{}2914",-0.727115165550792,-1.59528701687174,-1.45599959286838,0.167118546725996,0.360289524982907,-4.88788073387513,-0.0155825686065403,-1.59528701687174,-0.0333925157410319,0.973825847497565,0.985044254280527,-5.70954540358057,-0.711532596944251,-1.59528701687174,-1.04103403386903,0.315239639359881,0.641250948190681,-4.94030314092531
"12","1360{}4770",-0.157869646576934,-1.84337963448764,-0.351281288382198,0.730528538077254,0.856865613814928,-5.73855247159342,0.84927379945108,-1.84337963448764,2.14381448789905,0.0498036476014692,0.119415920303082,-3.83753883552612,-1.00714344602801,-1.84337963448764,-1.68112962281281,0.114564773894489,0.401020769184425,-4.29819752237724
"13","1360{}4814",-0.885945817354081,-1.24606127646104,-2.01025379445003,0.0637705668859913,0.199390381492455,-4.21370677383713,0.840871778042512,-1.24606127646104,1.76937937515331,0.0982665979530075,0.197499810135289,-4.37152552157184,-1.72681759539659,-1.24606127646104,-2.66429307228767,0.0183141393804558,0.169583745009615,-3.03122197732482
"14","1360{}6306",-6.0375918547656,-3.52668239291884,-9.3499678913859,1.8780490206049e-07,5.50412828346512e-05,4.62203616252438,-0.536171698740777,-3.52668239291884,-0.662730576918873,0.518103366658069,0.650724848184356,-5.05011959100075,-5.50142015602483,-3.52668239291884,-5.31467811724715,0.000103686019561653,0.00698205559842345,-1.21572773087064
"15","1360{}6316",-3.177068411877,-2.68521864169954,-2.98874100276496,0.0124652954396676,0.0699451776511537,-2.65353385206567,0.0492019910633257,-2.68521864169954,0.0339407079826985,0.97353917043123,0.984929883140102,-5.28453043207529,-3.22627040294032,-2.68521864169954,-1.7947373801204,0.100497118376349,0.378447265642589,-4.16451034840894
"16","1360{}6317",0.551744477184492,-2.23152448558441,0.34685761424949,0.736769905515958,0.860318890736068,-5.70044843990915,-0.989384378013465,-2.23152448558441,-0.74236245668872,0.477029510411629,0.617823552194547,-5.45037496965666,1.54112885519796,-2.23152448558441,0.742634289598619,0.476872895405398,0.761318135970906,-5.10762127053756
