"","logFC","AveExpr","t","P.Value","adj.P.Val","B","geneid"
"Sf3b1",-0.0908886772857944,4.72555018017746,-1.45768281986261,0.166792950639969,0.290306597504925,-6.33747188578404,"Sf3b1"
"Tabor{}RR48373",3.58925525174615,-0.60601174213163,1.50124210441418,0.166883920401959,0.29043176280985,-5.19053900880894,"Tabor{}RR48373"
"cer",0.186635495163301,4.31614882051642,1.46225405517462,0.167209939003146,0.29096591349714,-6.28719836545142,"cer"
"Bet3",-0.11056701316995,4.12065376381733,-1.45600552998811,0.167249099368096,0.291000830502315,-6.26766541799525,"Bet3"
"Transpac{}1262",-1.44096905147925,-0.948182173645806,-1.49066968411695,0.167294918817432,0.291047324517999,-5.05550853354104,"Transpac{}1262"
"CG32500",0.566657499917826,4.01384328385089,1.49581982681275,0.167325282100442,0.291054940532633,-6.19148818286769,"CG32500"
"CG16721",0.0671002533711056,7.11289712370949,1.4556809424269,0.167337492713053,0.291054940532633,-6.42133264078806,"CG16721"
"pre-mod(mdg4)-AE",0.288132724603046,1.86699132905926,1.4589312220214,0.167492824342752,0.291291868422178,-5.80773960728403,"pre-mod(mdg4)-AE"
"Chi",0.0775617150314476,5.31412881827278,1.4548881446444,0.1675535550121,0.291364237606618,-6.38950465220192,"Chi"
"asRNA:CR45104",-0.289716557021628,0.589755503818793,-1.45414711593197,0.167755718569652,0.291665283589395,-5.50002750742203,"asRNA:CR45104"
"CG6983",0.128270155959495,5.294531070031,1.454070640605,0.167776593720141,0.291665283589395,-6.39214602002028,"CG6983"
"sll",-0.124723503002611,4.07069353832463,-1.4540431778848,0.167784090631773,0.291665283589395,-6.2675850962873,"sll"
"CG30001",0.331779133349204,-0.763566717605418,1.4538796228942,0.167828744472072,0.291709633411768,-5.13429883678462,"CG30001"
"CheA75a",0.226180441333573,2.43634962172719,1.454738641714,0.167962389503264,0.291908634511317,-5.98339976353159,"CheA75a"
"Dbx",0.306925426993036,-0.250130749336999,1.45322098767314,0.168008665420589,0.291955765223463,-5.2612264593135,"Dbx"
"IntS12",0.214966506053674,1.33589999690481,1.45297652217806,0.168075487476458,0.29203858501211,-5.67599813391726,"IntS12"
"Xpc",0.0781170029348313,5.38627626173773,1.45201712706345,0.168337941718166,0.292405834387646,-6.39988402942111,"Xpc"
"CG17141",0.171357668933485,2.43063213817334,1.45201346376729,0.168338944510645,0.292405834387646,-5.96080583647432,"CG17141"
"Gyc89Db",0.455287291261942,-1.17069300754638,1.45199350232532,0.168344408852835,0.292405834387646,-5.02690017670258,"Gyc89Db"
"jockey{}973",0.445473896666847,3.19959437818225,1.48459470534577,0.168374351228568,0.29242451427047,-6.08810733834402,"jockey{}973"
"Rad1",3.25731400440669,-3.68160963283937,1.4907671644925,0.168415952220556,0.292463435715733,-4.63363310718256,"Rad1"
"lncRNA:CR43949",0.470309356444636,-0.530513069600234,1.45135749043724,0.168518591110111,0.292608331835261,-5.23547886076318,"lncRNA:CR43949"
