"","logFC","AveExpr","t","P.Value","adj.P.Val","B","geneid"
"tim",-1.5244220028436,6.29122118268765,-27.6306774378156,1.05939755005779e-13,1.61452186628808e-09,21.6415509759037,"tim"
"Cpr92F",2.49888297443874,6.19725844327099,25.9288393575261,2.55913457533321e-13,1.9500605464039e-09,20.809652961486,"Cpr92F"
"twi",-1.78270070594158,4.25784644230769,-23.6410560083361,9.18228878737022e-13,4.66460270398407e-09,19.4689184423739,"twi"
"Vajk3",1.62966603734382,4.0247652794107,21.7948617059974,2.81465157577803e-12,9.01518975448929e-09,18.4289338036432,"Vajk3"
"lncRNA:CR46017",-3.99390588926781,1.03948985809001,-21.3321317450666,3.77983646973638e-12,9.01518975448929e-09,15.0657983754322,"lncRNA:CR46017"
"CG18493",-1.19963751909536,5.71708979407303,-21.2202764896509,4.06274396866552e-12,9.01518975448929e-09,18.212710901798,"CG18493"
"mRpL9",1.30122312020254,4.08926217176513,21.1908639078933,4.14083518906988e-12,9.01518975448929e-09,18.0935610207763,"mRpL9"
"CG7214",2.20828080009115,7.94114824925926,21.1320439417257,6.58087522434107e-12,1.25365673023697e-08,17.7497116014354,"CG7214"
"Acp1",2.23602341242084,7.63360936337604,20.8163983471426,1.08323162823698e-11,1.83427222381461e-08,17.2774788419607,"Acp1"
"lncRNA:CR43440",-1.82833475435545,1.85776762687431,-18.7284566959517,2.24195372892105e-11,3.41673748287568e-08,15.7859213337964,"lncRNA:CR43440"
"CG40472",2.31462264069617,5.52821065684218,19.9251424617591,3.05264467662797e-11,4.22930044289185e-08,16.276760798167,"CG40472"
"Acyp",2.55419620186123,3.81302620077353,18.6841572794281,4.48114345212381e-11,5.69105218419724e-08,15.7865486863819,"Acyp"
"PPO1",-1.65589307550402,4.55009555228017,-17.2340373424817,6.93171349793298e-11,8.1261010544999e-08,15.4219726453074,"PPO1"
"CG12998",3.78038008045484,-0.135427930098812,17.0009272559572,8.33307951789524e-11,9.07115227519453e-08,11.9224680799471,"CG12998"
"Scp1",1.33089425171222,9.53431184203862,16.8782880963956,9.18920259580826e-11,9.20765574385872e-08,15.1497060674706,"Scp1"
"CG13309",-0.978586882642438,6.51465052278335,-16.8150625511925,9.6668301772795e-11,9.20765574385872e-08,15.0982955452875,"CG13309"
"Cpr62Bc",1.95496721653661,2.9874369605694,16.6031229340882,1.14711061312186e-10,1.0283509261163e-07,14.7930778751045,"Cpr62Bc"
"CG18609",-1.30671234036962,6.1864177268575,-16.5182628474568,1.22915138491152e-10,1.04068150589176e-07,14.8585583805531,"CG18609"
"Cpr76Bd",1.26800380974515,4.44087874993006,16.2503158271968,1.53199557005166e-10,1.22882170987301e-07,14.6425657342948,"Cpr76Bd"
"CG4607",-1.33781879548951,5.67449836580363,-15.9611354085955,1.95031284620931e-10,1.48613838881149e-07,14.3984615563963,"CG4607"
"CG3739",-2.95888523071533,6.5101363772882,-19.5001489451203,2.78445009481375e-10,2.02071521166483e-07,14.1895100947894,"CG3739"
"CG15533",-1.43730278724152,4.316344285917,-15.4855965703808,2.9261615662493e-10,2.02703192134724e-07,14.0012188329929,"CG15533"
"CG15263",-2.0797817380022,3.48507269067526,-15.4806065213365,3.3005427248421e-10,2.1869683098519e-07,13.8547123685452,"CG15263"
"y",2.98556121562137,0.374548785907196,15.1140823046096,4.04908401634724e-10,2.5711683503805e-07,12.0350176998964,"y"
"CG14013",1.45351840356205,4.70907366085538,15.0216852489937,4.39459315908956e-10,2.66603009037762e-07,13.5934986927066,"CG14013"
"CG13313",-3.00406977183954,0.805137965959381,-14.9830318451807,4.5483452985445e-10,2.66603009037762e-07,12.2636559113108,"CG13313"
"CG30427",0.684033428576382,6.59571885174666,14.796920050069,5.37335317636304e-10,3.03295934843603e-07,13.3687359241361,"CG30427"
"Vajk2",1.54903261477245,3.82623157103692,14.4217918055672,7.56212625594272e-10,4.11595729073454e-07,13.0597643226717,"Vajk2"
"ftz",-2.23933018146756,0.656746076479828,-14.3761609698376,7.88727525699653e-10,4.14489913505611e-07,11.8809646947253,"ftz"
"lectin-37Db",1.63135443805822,3.86634775644162,14.1209613947115,1.00029801751268e-09,5.08151392896444e-07,12.7828258339567,"lectin-37Db"
"mthl14",-1.03056099246321,3.75815159210704,-14.0072934634805,1.11333027456789e-09,5.47327528529504e-07,12.676603891256,"mthl14"
"mia",-0.851222011317231,3.51506286008306,-13.8748501677072,1.26245649717373e-09,6.01244906778989e-07,12.5521669086714,"mia"
"CAH5",1.19235204456847,2.77029998335177,13.4283826020253,1.94380038016477e-09,8.66799018741241e-07,12.1075745341569,"CAH5"
"Mlc2",0.809031020742915,11.7946200066572,13.4203332955932,1.95920641600682e-09,8.66799018741241e-07,12.1113364120527,"Mlc2"
"PPO2",-1.3713194290914,5.51692886673548,-13.5207514417069,1.99068016115114e-09,8.66799018741241e-07,12.0624835049962,"PPO2"
"Hsp83",0.689457739536703,9.29971732005708,13.3011824233963,2.20313057639646e-09,9.32658610674502e-07,11.9651555751972,"Hsp83"
"Ance-5",-1.3267758978632,4.69671398599941,-13.1178832927773,2.64368134434249e-09,1.08891091048053e-06,11.787063074046,"Ance-5"
"CG34327",1.56470106612644,3.55189865697409,13.0080895981107,2.95179531329112e-09,1.15470889360187e-06,11.7101324945668,"CG34327"
"lncRNA:CR43387",2.8235173507484,0.193605224887927,13.007025031064,2.95496370409927e-09,1.15470889360187e-06,10.6173001244568,"lncRNA:CR43387"
"CG7322",-1.25080673157552,5.70651088950893,-12.8903569372678,3.36763340571939e-09,1.27245891836313e-06,11.5126502963228,"CG7322"
"CG9514",1.2413110011095,3.33407663496106,12.8617445595338,3.42328186698742e-09,1.27245891836313e-06,11.5645830321962,"CG9514"
"lncRNA:CR45979",1.16626967902801,1.55778915935791,12.8239794576385,3.55755490023131e-09,1.28122049359553e-06,11.3421735622893,"lncRNA:CR45979"
"Smvt",-0.959475610323299,6.27477214846336,-12.8081689325099,3.61542488727729e-09,1.28122049359553e-06,11.4272834053344,"Smvt"
"Tm1",0.712080398970164,9.73952973800442,12.7857887050458,3.69906179253303e-09,1.28122049359553e-06,11.4452965577122,"Tm1"
"Nepl18",-1.40345862689357,4.11614905544653,-12.759683874055,3.79922932769617e-09,1.2866723323131e-06,11.4423614879459,"Nepl18"
"CG11131",1.25229056941083,2.15341189303116,12.6091026597938,4.43636572975713e-09,1.43361153035592e-06,11.2555573251994,"CG11131"
"lncRNA:CR46488",-1.34699436643359,1.94810158674392,-12.5733242086165,4.60389899572348e-09,1.43361153035592e-06,11.1931880209567,"lncRNA:CR46488"
"asRNA:CR43160",-0.961885724089611,3.69661642401533,-12.5639900152206,4.64870588593022e-09,1.43361153035592e-06,11.2504211491153,"asRNA:CR43160"
"Mal-A3",-0.842468332559498,6.30225973149294,-12.5530706473818,4.70171219856834e-09,1.43361153035592e-06,11.1575356890026,"Mal-A3"
"CG10560",-0.689608875186868,6.56895242906576,-12.548067025976,4.72621617266677e-09,1.43361153035592e-06,11.1507176382348,"CG10560"
"acs",-1.27100858557542,3.86966803835573,-12.5293902764868,4.81888891425226e-09,1.43361153035592e-06,11.2118510087126,"acs"
"Efhc1.2",0.964389757271152,3.85126852684644,12.5065354557059,4.93493343301595e-09,1.43361153035592e-06,11.1828428249107,"Efhc1.2"
"CG5928",1.23586623349874,2.5841132723298,12.4967246771411,4.98565689690707e-09,1.43361153035592e-06,11.1821602309773,"CG5928"
"Sgp",-0.695425770795081,8.25770327154963,-12.4132180296588,5.44055710238732e-09,1.53404674060856e-06,11.0263607022903,"Sgp"
"TpnC25D",1.01957126659924,5.36521495267271,12.3965980055439,5.53625792214375e-09,1.53404674060856e-06,11.0058583978797,"TpnC25D"
"CG32984",-1.07415218398936,2.35099940247456,-12.3467185236544,5.83438997047142e-09,1.58778755624972e-06,11.013859984472,"CG32984"
"Nep6",-0.80055262382805,4.78021587526871,-12.3066859835804,6.08602525706807e-09,1.6184132622419e-06,10.9303947474563,"Nep6"
"GstT2",0.996705745884817,2.39474311046317,12.2953570763116,6.15931556496261e-09,1.6184132622419e-06,10.9707031348507,"GstT2"
"CG4741",0.892752687738531,3.44021391979945,12.2354980191159,6.56248112728467e-09,1.68355683372464e-06,10.9133707323271,"CG4741"
"CG15628",-0.753482178705425,7.54907475206919,-12.2261160985731,6.62817651072694e-09,1.68355683372464e-06,10.8117292234496,"CG15628"
"CG8249",-1.14721635098793,4.03447825678411,-12.1659055455954,7.06681208689825e-09,1.76554452793983e-06,10.8181410520968,"CG8249"
"lncRNA:CR44643",1.19248184446198,3.60707321948841,12.1305247077163,7.33889218042105e-09,1.77993974927785e-06,10.7963467445738,"lncRNA:CR44643"
"CG7203",0.9731470618734,8.93968499769901,12.1280902769486,7.35801864858955e-09,1.77993974927785e-06,10.7308118430731,"CG7203"
"CG44836",-1.87501828353323,1.19386201578648,-12.0634842331349,7.88549333113953e-09,1.85814857104416e-06,10.4359483933797,"CG44836"
"Cbp53E",0.810657248017111,6.24977373159158,12.0588114331867,7.92517435156631e-09,1.85814857104416e-06,10.62091414361,"Cbp53E"
"Gnmt",-0.776601703055541,7.01416428926906,-12.0167021710901,8.2925006295574e-09,1.91086055994013e-06,10.5753013470784,"Gnmt"
"Npc1b",-1.22623148475186,4.57091995818192,-12.0046691399421,8.40076492887065e-09,1.91086055994013e-06,10.618759388962,"Npc1b"
"Cpr97Eb",1.15238500537835,4.28236426615193,11.9601316227709,8.81475578745363e-09,1.97554232648226e-06,10.5801741490809,"Cpr97Eb"
"CG9406",1.05898402532492,4.70801966892156,11.910495847625,9.301856062928e-09,2.05449690433366e-06,10.4990261273676,"CG9406"
"Mal-A4",-0.811867910084701,6.57177149162433,-11.7802349075134,1.07215837140845e-08,2.33424194003782e-06,10.3099870146215,"Mal-A4"
"CG42369",-0.730166873910554,6.8371234910226,-11.7493763027009,1.1090618816946e-08,2.38057789817263e-06,10.2751646189999,"CG42369"
"Act79B",1.04464330293847,11.4775612039057,11.7198039745692,1.14569754330734e-08,2.42435020966844e-06,10.3269476393358,"Act79B"
"CrzR",-0.698075325337739,4.63053780779022,-11.7075372416864,1.16127011355509e-08,2.42435020966844e-06,10.2777171170859,"CrzR"
"salt",-0.683646594889801,6.0245458633265,-11.6462693661826,1.24249385306444e-08,2.55886571901379e-06,10.1610444182155,"salt"
"CG8834",-1.08403332363773,6.80602136184584,-11.5991752357979,1.30902968969347e-08,2.65994832945713e-06,10.1059606922823,"CG8834"
"lncRNA:CR44686",-1.89716684851271,1.7375054637161,-11.5693242633322,1.35315926423578e-08,2.71344041933595e-06,10.1073458465067,"lncRNA:CR44686"
"mas",1.72099772590667,1.12047493573439,11.5220315492299,1.42634452184163e-08,2.82305071595669e-06,9.92263220717776,"mas"
"Gba1a",-1.04346985496038,5.24129533019261,-11.486838080917,1.48353432379902e-08,2.89859783265346e-06,10.0035341496025,"Gba1a"
"Acp62F",0.701570589702824,7.81476630979496,11.4502436538894,1.54559574687451e-08,2.98163027624906e-06,9.94695424451511,"Acp62F"
"lncRNA:CR45821",-1.25463665491554,2.2415569014153,-11.3953970655454,1.64383728823694e-08,3.11940065425858e-06,10.0040806546535,"lncRNA:CR45821"
"lncRNA:CR46035",-0.85001632490166,2.88777961164224,-11.3799688526674,1.67265409661677e-08,3.11940065425858e-06,9.99606267383684,"lncRNA:CR46035"
"Nepl11",-0.698126053939026,5.991301163391,-11.3665127511377,1.6982262032251e-08,3.11940065425858e-06,9.84004661179721,"Nepl11"
"Ser",-1.02761612738592,2.92462071455344,-11.366168327097,1.69888618309358e-08,3.11940065425858e-06,9.98091340709654,"Ser"
"lncRNA:CR30121",-2.04009031610771,0.746605390577186,-11.3303958425602,1.76894104721074e-08,3.20936447136805e-06,9.53544554027329,"lncRNA:CR30121"
"GstD8",-1.37212786417457,1.99495585952165,-11.3114334450211,1.80731625162938e-08,3.2268085265603e-06,9.88804104198474,"GstD8"
"lncRNA:Yu",1.08482555658561,2.60390645527817,11.291893430013,1.84778821378042e-08,3.2268085265603e-06,9.90046892461513,"lncRNA:Yu"
"Peritrophin-A",0.820447170588145,2.30556484737168,11.2895325075359,1.85274312056424e-08,3.2268085265603e-06,9.89527515714886,"Peritrophin-A"
"obst-B",1.08115764119621,3.33502643273667,11.2845487761656,1.86324901796133e-08,3.2268085265603e-06,9.87214835544472,"obst-B"
"Srg2",-1.34182528123253,5.16012648326825,-11.7548644654418,1.88706948349773e-08,3.23134145264106e-06,9.82348886641497,"Srg2"
"CG14630",-0.850977624896192,5.10300992618455,-11.2322442298252,1.97741063452977e-08,3.34841534113707e-06,9.71452403383801,"CG14630"
"retinin",0.88027440594096,7.65558005166725,11.1077357344956,2.28018040056874e-08,3.81867574776567e-06,9.5437163315491,"retinin"
"CG14823",-0.620252762323303,4.48611906367171,-10.9387098454627,2.77246767038793e-08,4.55334367115668e-06,9.39567554694374,"CG14823"
"CG12116",-0.683655960835975,6.29550906464092,-10.9368066423008,2.77861523239876e-08,4.55334367115668e-06,9.32849098877639,"CG12116"
"Acp65Aa",2.38108691973363,3.51449681639221,12.5215999165818,3.01004929455821e-08,4.880122473305e-06,9.53977155849477,"Acp65Aa"
"CG43402",0.797348690066193,4.39392661873496,10.8138918561464,3.20802979001302e-08,5.09729426540545e-06,9.24736632492924,"CG43402"
"lncRNA:CR46444",-1.22053702335749,1.26463387005439,-10.8131319980199,3.21089402545225e-08,5.09729426540545e-06,9.25245922317157,"lncRNA:CR46444"
"hopper{}6534",-1.90552407958817,0.0580845772934443,-10.7659864740555,3.3940328934433e-08,5.33248054598721e-06,8.67567478661964,"hopper{}6534"
"CG12766",-1.08881396276238,3.36293152521463,-10.737503983009,3.5100283031771e-08,5.36023442159016e-06,9.23618646299814,"CG12766"
"CG32198",-2.43095813880388,2.0624363589577,-11.1012585588452,3.51707433926727e-08,5.36023442159016e-06,9.22598976785194,"CG32198"
"Sfp51E",1.32902395125689,4.16627018976424,11.0155310342837,3.53233116190115e-08,5.36023442159016e-06,9.204747195818,"Sfp51E"
"asRNA:CR43433",-1.72055230637324,1.04257033309111,-10.7273516304517,3.55238632926907e-08,5.36023442159016e-06,9.0808159481726,"asRNA:CR43433"
"CG15096",-1.0738426535735,6.29793024709615,-10.7887897200507,3.88652390589802e-08,5.76177620190519e-06,9.00431234121227,"CG15096"
"CG33127",-0.653354434637125,5.95179848637634,-10.6498702063342,3.89411383724563e-08,5.76177620190519e-06,8.98439242418286,"CG33127"
"Nep5",-0.684881242160446,3.9663208306512,-10.6287300054108,3.99329962136457e-08,5.85171982976886e-06,9.05630855884632,"Nep5"
"pug",-0.686539772329449,6.59440647039564,-10.527317705176,4.50788286855173e-08,6.54286999206937e-06,8.82749750269572,"pug"
"CG9259",0.764872052076193,5.78117905732844,10.481059885146,4.76559417583892e-08,6.80135472633548e-06,8.77856168586129,"CG9259"
"CG17562",-0.470491522173199,5.94502466466416,-10.4793823336656,4.77522936822767e-08,6.80135472633548e-06,8.77294015183483,"CG17562"
"Adh",-0.691610954317345,11.5019688471738,-10.4699786240807,4.82962512360351e-08,6.81513767441828e-06,8.86292578697688,"Adh"
"CG13155",-0.983794991915303,3.44349622840941,-10.461133600266,4.88139022649019e-08,6.8249896377716e-06,8.89557071705382,"CG13155"
"lncRNA:CR44222",-2.15370464421487,0.269246399221326,-10.4518212007471,4.93652816670019e-08,6.83933538731918e-06,8.4217741599357,"lncRNA:CR44222"
"CG11892",0.722209733370061,7.03893473988995,10.4410492093507,5.0011346934131e-08,6.86642276825366e-06,8.72294390182255,"CG11892"
"CG11248",0.616686844567632,5.03731358977066,10.3907547470865,5.31489666902253e-08,7.23205582463422e-06,8.69248026456948,"CG11248"
"TpnC41C",0.78536100866621,7.96107343372777,10.3164622381685,5.81720646329867e-08,7.8251549852308e-06,8.58496511034523,"TpnC41C"
"lncRNA:CR43458",4.40532104647445,-0.792140579020732,10.3113661558621,5.85346239052698e-08,7.8251549852308e-06,7.10214553980332,"lncRNA:CR43458"
"lncRNA:CR46215",-1.87612299490639,0.328698318553362,-10.2948589391146,5.97255961126532e-08,7.91493986745074e-06,8.32322987523085,"lncRNA:CR46215"
"CG42397",0.940967920820553,5.40773644959566,10.2857711055267,6.0392231781868e-08,7.9342897616868e-06,8.54757720672562,"CG42397"
"lncRNA:CR44055",0.791077851481882,3.29908437301014,10.2764301764934,6.10856758360192e-08,7.95680085248661e-06,8.67098095338375,"lncRNA:CR44055"
"CG7381",-0.849712355078841,4.90143953493388,-10.2284054481606,6.47869045793464e-08,8.30191262211279e-06,8.50457974060295,"CG7381"
"Cpr100A",1.32802363975098,5.23380480438528,10.9263572170147,6.54169867619993e-08,8.30191262211279e-06,8.57885526247378,"Cpr100A"
"CG10553",-0.616196405653647,5.99073372031832,-10.2152883731497,6.58387220877695e-08,8.30191262211279e-06,8.44027358027484,"CG10553"
"CG15136",-0.662385479061167,4.15733762585325,-10.2143564655125,6.59141356480084e-08,8.30191262211279e-06,8.52718169393673,"CG15136"
"CG12017",-2.05268846207676,1.08478235629025,-10.2054212373562,6.66418827150567e-08,8.32477288997922e-06,8.46354319562513,"CG12017"
"PGRP-LB",-0.619918875683392,5.21326938069454,-10.1157897414677,7.44326478313066e-08,9.20625267171403e-06,8.34135624917263,"PGRP-LB"
"lncRNA:CR45055",-1.58298026281423,1.77035822898714,-10.1094924077213,7.50152172712e-08,9.20625267171403e-06,8.49871255406211,"lncRNA:CR45055"
"CG43055",-2.49110542444923,1.39878627353051,-10.1733930791487,7.55106026223264e-08,9.20625267171403e-06,8.38166770369556,"CG43055"
"Cpr97Ea",1.66931334180487,1.13442309382305,10.0547726642765,8.02859428060128e-08,9.66565413273118e-06,8.35136088180068,"Cpr97Ea"
"HLH54F",-1.66086518733775,0.170004086854492,-10.0521612001221,8.05471177727598e-08,9.66565413273118e-06,8.01641899380735,"HLH54F"
"CG3734",-0.908966559855119,5.4257386678271,-10.0410038844407,8.16731736095861e-08,9.72421223289134e-06,8.23935996025773,"CG3734"
"Swim",0.610398734418239,6.40523640329927,10.0196770428958,8.38723605780446e-08,9.87154153375052e-06,8.18462867303148,"Swim"
"CG11854",-1.87220605337646,0.919008835889884,-10.0164928796992,8.42060629519402e-08,9.87154153375052e-06,8.27926550187168,"CG11854"
"CG13116",-0.747104576142644,3.61262514260588,-9.99844117334991,8.61247326619755e-08,9.98472013671077e-06,8.29935494026493,"CG13116"
"SmydA-4",0.728814505710834,3.1587417752129,9.99512861523535,8.64818279557625e-08,9.98472013671077e-06,8.32923311359674,"SmydA-4"
"CG1208",-1.30486233876861,5.93966655354814,-10.7793153338031,8.8241301829666e-08,1.01112589464971e-05,8.26561615314409,"CG1208"
"Clk",-0.581441567175935,6.56739384693261,-9.93911083915671,9.27646530492374e-08,1.05502486005252e-05,8.08045664817822,"Clk"
"CG5348",-0.728156459153556,3.39817611929997,-9.93289691132439,9.34908777457844e-08,1.05540813099685e-05,8.23279899068526,"CG5348"
"Hpd",-0.857918322448247,5.57761864733367,-9.92098097760016,9.49004343957381e-08,1.06344310308165e-05,8.07616374318386,"Hpd"
"nebu",-0.545795927342693,6.71501347515752,-9.91273500013235,9.5889061336564e-08,1.06667831734981e-05,8.04637741530387,"nebu"
"CG13043",2.00239318626434,-0.0707044534375489,9.84042714093448,1.05041211027888e-07,1.16002033048189e-05,7.67189240869134,"CG13043"
"CR44391",-0.973815543234463,4.1764543225447,-9.82395935720015,1.0725248087793e-07,1.17591928674795e-05,8.03054731623986,"CR44391"
"Cyp4aa1",-0.92526741956374,4.77973338740019,-9.7958489753681,1.11142025984844e-07,1.20986034000644e-05,7.9550382312528,"Cyp4aa1"
"CG10508",-0.752136906682643,5.48757268602404,-9.74475359777133,1.1860038010912e-07,1.2805502812415e-05,7.84829426476301,"CG10508"
"CG10226",-0.68174383874513,5.27123236496395,-9.73684553969567,1.19801385871353e-07,1.2805502812415e-05,7.84487812835605,"CG10226"
"CG5770",-2.35516409222698,2.06813060826534,-10.2467265891641,1.20156620877647e-07,1.2805502812415e-05,8.07888966268142,"CG5770"
"pdgy",-0.578067531692595,6.84660180176988,-9.72639241627468,1.21408753458669e-07,1.28490930743758e-05,7.80259570473836,"pdgy"
"Jheh2",-0.575829129655078,7.07085779061172,-9.68947876757619,1.27270513511922e-07,1.33765698339427e-05,7.75589847239348,"Jheh2"
"Cpr49Ae",0.945564950759338,8.12073317137758,9.65663435597668,1.35616201974486e-07,1.41561021787066e-05,7.71440400712693,"Cpr49Ae"
"Ance",-0.766224230687827,7.53905136412701,-9.60927521327083,1.41066741209338e-07,1.46248784763967e-05,7.65747475967582,"Ance"
"CG31326",-0.564537415991444,6.1776472808531,-9.59477111892732,1.4372676651231e-07,1.47999724435649e-05,7.62895257245411,"CG31326"
"CG17806",0.969594688589824,1.46718634169285,9.58176976303246,1.46156437258539e-07,1.49112706955355e-05,7.85476064048544,"CG17806"
"Acp26Aa",0.633116385858605,9.0659299619109,9.57855196382219,1.46764475349759e-07,1.49112706955355e-05,7.65683834427269,"Acp26Aa"
"Obp83g",1.22160053989713,2.83594515485416,9.53840787290764,1.54579827715961e-07,1.56013018171606e-05,7.77555258905084,"Obp83g"
"Gk2",-0.572056209295707,5.57496616168194,-9.53309777459518,1.55646216547219e-07,1.56055811853923e-05,7.56120310862713,"Gk2"
"CG31091",-2.22062407004556,1.09612271063075,-9.52340695249808,1.57612520618621e-07,1.5699443230247e-05,7.68985603405239,"CG31091"
"lncRNA:CR46218",3.27685016058288,-0.78735015335171,9.51592992263277,1.59147639461524e-07,1.57494157493093e-05,6.74352098608791,"lncRNA:CR46218"
"CG42329",-1.18005434099137,3.18839961131675,-9.4950286365334,1.63523639828489e-07,1.60029673773349e-05,7.69480760736269,"CG42329"
"CG15534",-0.971631770362834,5.88245134636417,-9.60736091420402,1.64492885225669e-07,1.60029673773349e-05,7.5200475227584,"CG15534"
"lncRNA:CR43874",-1.61755564537367,0.23770647061686,-9.48876396490406,1.64859965763884e-07,1.60029673773349e-05,7.47550871793522,"lncRNA:CR43874"
"CG45078",0.618523662569558,6.33067842285869,9.46075256203534,1.70978376252581e-07,1.64918383170211e-05,7.44727146963787,"CG45078"
"fuss",-1.16426322844491,1.06911060051304,-9.45340483799428,1.72622865444603e-07,1.65457388011053e-05,7.64590349277186,"fuss"
"Pisd",-0.575809641737979,6.05656435852679,-9.35440083321346,1.96493366514588e-07,1.87159931605145e-05,7.30705125909458,"Pisd"
"CG14109",0.709052680868229,5.18074732245793,9.33294045113147,2.02115181463952e-07,1.91318966801903e-05,7.30682466159254,"CG14109"
"lncRNA:mimi",1.18222248584106,8.03501750146202,9.88376366934972,2.16938802373152e-07,2.04083169639928e-05,7.32789177575869,"lncRNA:mimi"
"spab",0.992848193792576,2.49203701118186,9.26509427399159,2.21038368095114e-07,2.06664093850892e-05,7.43371821674943,"spab"
"Cpr72Ec",-1.75252265938882,4.11635323049586,-10.4628685489841,2.25100534038827e-07,2.08927486846876e-05,7.47191663707468,"Cpr72Ec"
"Mlc1",0.660938701677549,10.5627266671475,9.24765132329468,2.2620101922398e-07,2.08927486846876e-05,7.25382750774962,"Mlc1"
"Tace",0.80087653605468,2.9964405542988,9.22298925680571,2.33719558800718e-07,2.14571450368852e-05,7.33416007862006,"Tace"
"Jheh1",-0.714683062028376,6.70945708030623,-9.21398208127653,2.36531169062339e-07,2.15852396198206e-05,7.1116870955612,"Jheh1"
"Rcd2",-0.70026173446211,4.27714207293897,-9.20823264994451,2.38344597240954e-07,2.16212598925723e-05,7.20004539186009,"Rcd2"
"PPO3",1.49363494633745,0.959467884436235,9.1888274240262,2.44574803409002e-07,2.20551479523858e-05,7.29970248440279,"PPO3"
"RR51477",-1.65332127618809,1.1450868782348,-9.13306902080867,2.63456322705089e-07,2.36180844589738e-05,7.24329047329233,"RR51477"
"lncRNA:CR45630",-1.51720977307823,2.04972678662134,-9.1127681467735,2.70709365679091e-07,2.41263785552593e-05,7.26057543624889,"lncRNA:CR45630"
"lncRNA:CR43863",1.40650509826319,0.428076682868481,9.07852076734809,2.83428975168177e-07,2.51131254742036e-05,7.04873342735001,"lncRNA:CR43863"
"Npc2g",-0.690481430316872,7.28962895678462,-9.032753020149,3.01424602875937e-07,2.65532424730017e-05,6.86570146778811,"Npc2g"
"lncRNA:CR45022",-1.66772978713169,0.473280498598815,-9.0260171032798,3.04173702959604e-07,2.66414208799101e-05,6.96591620916443,"lncRNA:CR45022"
"l(2)k14505",0.606068861311892,4.05918953021183,9.00175128319604,3.14299520786271e-07,2.72243053000756e-05,6.93076367924576,"l(2)k14505"
"lncRNA:CR31781",-1.01594207827372,7.96966955304658,-9.29688621406192,3.14951557258718e-07,2.72243053000756e-05,6.89051622768977,"lncRNA:CR31781"
"CG7800",-0.915552051354609,2.71088271137508,-8.99731788456411,3.16187797776468e-07,2.72243053000756e-05,7.06355457126223,"CG7800"
"CG8630",0.534699414001922,6.92327241183058,8.99176063393959,3.18571738663145e-07,2.72754679619457e-05,6.80244594247033,"CG8630"
"CG31104",-1.18667146389534,5.6595347710602,-9.63925700213754,3.22981731728661e-07,2.74985563773452e-05,6.92915540340525,"CG31104"
"CG34040",-1.52639863152973,6.59878358264396,-10.3208162445232,3.31756787550224e-07,2.8088741345919e-05,6.99756097052027,"CG34040"
"CG13676",0.880024707770282,2.43801609946222,8.94304398396813,3.40303763092424e-07,2.86524188850136e-05,7.00741003393627,"CG13676"
"CG5435",1.03738503085284,4.31303338442789,9.0656937193232,3.42174556238352e-07,2.86524188850136e-05,6.8428953878413,"CG5435"
"PGRP-SC2",-0.622812527239032,6.28841176170093,-8.87943637527024,3.71070331888334e-07,3.08113629255972e-05,6.64483495780901,"PGRP-SC2"
"cDIP",-0.604421829927461,4.56884607562931,-8.87760094195807,3.72000707238182e-07,3.08113629255972e-05,6.71823143314265,"cDIP"
"Nepl10",-0.937815070444028,2.07351037520279,-8.85391526481175,3.84231094927714e-07,3.15825623756334e-05,6.9123138445989,"Nepl10"
"CG9451",0.527832170166175,5.76269577493006,8.85158631031094,3.85456469938832e-07,3.15825623756334e-05,6.61298652506546,"CG9451"
"Tsf1",-0.818074439583835,8.93297943009774,-8.83253326749085,3.95637993807072e-07,3.22434386396779e-05,6.62742431934409,"Tsf1"
"Tm2",0.509675712005758,10.2488138877066,8.82405253755046,4.00261160838894e-07,3.23708594740967e-05,6.65552837024446,"Tm2"
"Obp19b",0.757196325914065,4.18532935954776,8.82069797031578,4.0210562354916e-07,3.23708594740967e-05,6.66870722122891,"Obp19b"
"CG13847",-1.20833228109809,1.64803407744425,-8.81803955884794,4.03573707354224e-07,3.23708594740967e-05,6.87418625446883,"CG13847"
"sosie",0.599238959228434,3.13322427258484,8.78067557667119,4.24819123896412e-07,3.38965625559231e-05,6.71050373713209,"sosie"
"CG43740",0.700455222505118,2.81424076523756,8.76623014431489,4.33347584415487e-07,3.43969645129793e-05,6.7305103437259,"CG43740"
"lncRNA:CR44822",-0.866015889711924,2.57381562294103,-8.75654519152375,4.39166893914874e-07,3.46091500193154e-05,6.73780674521864,"lncRNA:CR44822"
"uif",-0.62796605637078,4.35411117202337,-8.75278939371426,4.41445822649468e-07,3.46091500193154e-05,6.55957065537328,"uif"
"1731{}pyd[1272]",-0.64319055107432,4.76524292677441,-8.75051228560725,4.4283361245187e-07,3.46091500193154e-05,6.51999052400758,"1731{}pyd[1272]"
"CG6125",-0.464950232449928,5.5516874668611,-8.7300440682655,4.55517404583526e-07,3.54188022747599e-05,6.44886044040605,"CG6125"
"wupA",0.488466679210877,9.4083309757133,8.71292205812859,4.66423071682138e-07,3.59655195879847e-05,6.47229350788314,"wupA"
"CG32647",-0.500689826762059,7.02518482884873,-8.71161237868337,4.67268561576179e-07,3.59655195879847e-05,6.4064117009769,"CG32647"
